Query	Reference	%ANI	Num_Fragments_Mapped	Total_Query_Fragments	%Query_Aligned	Basepairs_Query_Aligned
SRR3215107	GCA_001879185.2_ASM187918v2_genomic.fna	99.9891	1441	1447	99.5853	4323000
SRR3215024	GCA_001879185.2_ASM187918v2_genomic.fna	99.9877	1408	1410	99.8582	4224000
SRR3215107	GCA_001879185.2_ASM187918v2_genomic.fna	99.9891	1441	1447	99.5853	4323000
